date,device,sex,funnel_step,step_order,user_count,conversion_rate_from_previous,min_date,max_date
2015-01-13,Desktop,Female,Payment,3,16,13.01,2015-01-01,2015-04-30
2015-01-13,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-13,Desktop,Male,Home,1,255,100.0,2015-01-01,2015-04-30
2015-01-13,Desktop,Male,Search,2,126,49.41,2015-01-01,2015-04-30
2015-01-13,Desktop,Male,Payment,3,21,16.67,2015-01-01,2015-04-30
2015-01-13,Desktop,Male,Confirmation,4,1,4.76,2015-01-01,2015-04-30
2015-01-13,Mobile,Female,Home,1,108,100.0,2015-01-01,2015-04-30
2015-01-13,Mobile,Female,Search,2,85,78.7,2015-01-01,2015-04-30
2015-01-13,Mobile,Female,Payment,3,18,21.18,2015-01-01,2015-04-30
2015-01-13,Mobile,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-13,Mobile,Male,Home,1,101,100.0,2015-01-01,2015-04-30
2015-01-13,Mobile,Male,Search,2,87,86.14,2015-01-01,2015-04-30
2015-01-13,Mobile,Male,Payment,3,21,24.14,2015-01-01,2015-04-30
2015-01-13,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-14,Desktop,Female,Home,1,233,100.0,2015-01-01,2015-04-30
2015-01-14,Desktop,Female,Search,2,115,49.36,2015-01-01,2015-04-30
2015-01-14,Desktop,Female,Payment,3,22,19.13,2015-01-01,2015-04-30
2015-01-14,Desktop,Female,Confirmation,4,2,9.09,2015-01-01,2015-04-30
2015-01-14,Desktop,Male,Home,1,245,100.0,2015-01-01,2015-04-30
2015-01-14,Desktop,Male,Search,2,119,48.57,2015-01-01,2015-04-30
2015-01-14,Desktop,Male,Payment,3,23,19.33,2015-01-01,2015-04-30
2015-01-14,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-14,Mobile,Female,Home,1,149,100.0,2015-01-01,2015-04-30
2015-01-14,Mobile,Female,Search,2,116,77.85,2015-01-01,2015-04-30
2015-01-14,Mobile,Female,Payment,3,15,12.93,2015-01-01,2015-04-30
2015-01-14,Mobile,Female,Confirmation,4,4,26.67,2015-01-01,2015-04-30
2015-01-14,Mobile,Male,Home,1,131,100.0,2015-01-01,2015-04-30
2015-01-14,Mobile,Male,Search,2,104,79.39,2015-01-01,2015-04-30
2015-01-14,Mobile,Male,Payment,3,18,17.31,2015-01-01,2015-04-30
2015-01-14,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-15,Desktop,Female,Home,1,260,100.0,2015-01-01,2015-04-30
2015-01-15,Desktop,Female,Search,2,119,45.77,2015-01-01,2015-04-30
2015-01-15,Desktop,Female,Payment,3,17,14.29,2015-01-01,2015-04-30
2015-01-15,Desktop,Female,Confirmation,4,1,5.88,2015-01-01,2015-04-30
2015-01-15,Desktop,Male,Home,1,230,100.0,2015-01-01,2015-04-30
2015-01-15,Desktop,Male,Search,2,114,49.57,2015-01-01,2015-04-30
2015-01-15,Desktop,Male,Payment,3,18,15.79,2015-01-01,2015-04-30
2015-01-15,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-15,Mobile,Female,Home,1,151,100.0,2015-01-01,2015-04-30
2015-01-15,Mobile,Female,Search,2,123,81.46,2015-01-01,2015-04-30
2015-01-15,Mobile,Female,Payment,3,25,20.33,2015-01-01,2015-04-30
2015-01-15,Mobile,Female,Confirmation,4,3,12.0,2015-01-01,2015-04-30
2015-01-15,Mobile,Male,Home,1,94,100.0,2015-01-01,2015-04-30
2015-01-15,Mobile,Male,Search,2,79,84.04,2015-01-01,2015-04-30
2015-01-15,Mobile,Male,Payment,3,14,17.72,2015-01-01,2015-04-30
2015-01-15,Mobile,Male,Confirmation,4,3,21.43,2015-01-01,2015-04-30
2015-01-16,Desktop,Female,Home,1,236,100.0,2015-01-01,2015-04-30
2015-01-16,Desktop,Female,Search,2,126,53.39,2015-01-01,2015-04-30
2015-01-16,Desktop,Female,Payment,3,22,17.46,2015-01-01,2015-04-30
2015-01-16,Desktop,Female,Confirmation,4,1,4.55,2015-01-01,2015-04-30
2015-01-16,Desktop,Male,Home,1,228,100.0,2015-01-01,2015-04-30
2015-01-16,Desktop,Male,Search,2,93,40.79,2015-01-01,2015-04-30
2015-01-16,Desktop,Male,Payment,3,19,20.43,2015-01-01,2015-04-30
2015-01-16,Desktop,Male,Confirmation,4,1,5.26,2015-01-01,2015-04-30
2015-01-16,Mobile,Female,Home,1,121,100.0,2015-01-01,2015-04-30
2015-01-16,Mobile,Female,Search,2,98,80.99,2015-01-01,2015-04-30
2015-01-16,Mobile,Female,Payment,3,16,16.33,2015-01-01,2015-04-30
2015-01-16,Mobile,Female,Confirmation,4,2,12.5,2015-01-01,2015-04-30
2015-01-16,Mobile,Male,Home,1,138,100.0,2015-01-01,2015-04-30
2015-01-16,Mobile,Male,Search,2,111,80.43,2015-01-01,2015-04-30
2015-01-16,Mobile,Male,Payment,3,24,21.62,2015-01-01,2015-04-30
2015-01-16,Mobile,Male,Confirmation,4,1,4.17,2015-01-01,2015-04-30
2015-01-17,Desktop,Female,Home,1,235,100.0,2015-01-01,2015-04-30
2015-01-17,Desktop,Female,Search,2,121,51.49,2015-01-01,2015-04-30
2015-01-17,Desktop,Female,Payment,3,18,14.88,2015-01-01,2015-04-30
2015-01-17,Desktop,Female,Confirmation,4,2,11.11,2015-01-01,2015-04-30
2015-01-17,Desktop,Male,Home,1,232,100.0,2015-01-01,2015-04-30
2015-01-17,Desktop,Male,Search,2,120,51.72,2015-01-01,2015-04-30
2015-01-17,Desktop,Male,Payment,3,20,16.67,2015-01-01,2015-04-30
2015-01-17,Desktop,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-17,Mobile,Female,Home,1,131,100.0,2015-01-01,2015-04-30
2015-01-17,Mobile,Female,Search,2,104,79.39,2015-01-01,2015-04-30
2015-01-17,Mobile,Female,Payment,3,25,24.04,2015-01-01,2015-04-30
2015-01-17,Mobile,Female,Confirmation,4,3,12.0,2015-01-01,2015-04-30
2015-01-17,Mobile,Male,Home,1,121,100.0,2015-01-01,2015-04-30
2015-01-17,Mobile,Male,Search,2,97,80.17,2015-01-01,2015-04-30
2015-01-17,Mobile,Male,Payment,3,14,14.43,2015-01-01,2015-04-30
2015-01-17,Mobile,Male,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-18,Desktop,Female,Home,1,220,100.0,2015-01-01,2015-04-30
2015-01-18,Desktop,Female,Search,2,129,58.64,2015-01-01,2015-04-30
2015-01-18,Desktop,Female,Payment,3,20,15.5,2015-01-01,2015-04-30
2015-01-18,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-18,Desktop,Male,Home,1,219,100.0,2015-01-01,2015-04-30
2015-01-18,Desktop,Male,Search,2,123,56.16,2015-01-01,2015-04-30
2015-01-18,Desktop,Male,Payment,3,16,13.01,2015-01-01,2015-04-30
2015-01-18,Desktop,Male,Confirmation,4,1,6.25,2015-01-01,2015-04-30
2015-01-18,Mobile,Female,Home,1,108,100.0,2015-01-01,2015-04-30
2015-01-18,Mobile,Female,Search,2,78,72.22,2015-01-01,2015-04-30
2015-01-18,Mobile,Female,Payment,3,10,12.82,2015-01-01,2015-04-30
2015-01-18,Mobile,Female,Confirmation,4,2,20.0,2015-01-01,2015-04-30
2015-01-18,Mobile,Male,Home,1,121,100.0,2015-01-01,2015-04-30
2015-01-18,Mobile,Male,Search,2,92,76.03,2015-01-01,2015-04-30
2015-01-18,Mobile,Male,Payment,3,16,17.39,2015-01-01,2015-04-30
2015-01-18,Mobile,Male,Confirmation,4,2,12.5,2015-01-01,2015-04-30
2015-01-19,Desktop,Female,Home,1,266,100.0,2015-01-01,2015-04-30
2015-01-19,Desktop,Female,Search,2,130,48.87,2015-01-01,2015-04-30
2015-01-19,Desktop,Female,Payment,3,31,23.85,2015-01-01,2015-04-30
2015-01-19,Desktop,Female,Confirmation,4,1,3.23,2015-01-01,2015-04-30
2015-01-19,Desktop,Male,Home,1,254,100.0,2015-01-01,2015-04-30
2015-01-19,Desktop,Male,Search,2,124,48.82,2015-01-01,2015-04-30
2015-01-19,Desktop,Male,Payment,3,24,19.35,2015-01-01,2015-04-30
2015-01-19,Desktop,Male,Confirmation,4,1,4.17,2015-01-01,2015-04-30
2015-01-19,Mobile,Female,Home,1,128,100.0,2015-01-01,2015-04-30
2015-01-19,Mobile,Female,Search,2,98,76.56,2015-01-01,2015-04-30
2015-01-19,Mobile,Female,Payment,3,22,22.45,2015-01-01,2015-04-30
2015-01-19,Mobile,Female,Confirmation,4,3,13.64,2015-01-01,2015-04-30
2015-01-19,Mobile,Male,Home,1,140,100.0,2015-01-01,2015-04-30
2015-01-19,Mobile,Male,Search,2,111,79.29,2015-01-01,2015-04-30
2015-01-19,Mobile,Male,Payment,3,28,25.23,2015-01-01,2015-04-30
2015-01-19,Mobile,Male,Confirmation,4,5,17.86,2015-01-01,2015-04-30
2015-01-20,Desktop,Female,Home,1,244,100.0,2015-01-01,2015-04-30
2015-01-20,Desktop,Female,Search,2,125,51.23,2015-01-01,2015-04-30
2015-01-20,Desktop,Female,Payment,3,25,20.0,2015-01-01,2015-04-30
2015-01-20,Desktop,Female,Confirmation,4,1,4.0,2015-01-01,2015-04-30
2015-01-20,Desktop,Male,Home,1,237,100.0,2015-01-01,2015-04-30
2015-01-20,Desktop,Male,Search,2,114,48.1,2015-01-01,2015-04-30
2015-01-20,Desktop,Male,Payment,3,18,15.79,2015-01-01,2015-04-30
2015-01-20,Desktop,Male,Confirmation,4,2,11.11,2015-01-01,2015-04-30
2015-01-20,Mobile,Female,Home,1,124,100.0,2015-01-01,2015-04-30
2015-01-20,Mobile,Female,Search,2,95,76.61,2015-01-01,2015-04-30
2015-01-20,Mobile,Female,Payment,3,21,22.11,2015-01-01,2015-04-30
2015-01-20,Mobile,Female,Confirmation,4,3,14.29,2015-01-01,2015-04-30
2015-01-20,Mobile,Male,Home,1,110,100.0,2015-01-01,2015-04-30
2015-01-20,Mobile,Male,Search,2,87,79.09,2015-01-01,2015-04-30
2015-01-20,Mobile,Male,Payment,3,14,16.09,2015-01-01,2015-04-30
2015-01-20,Mobile,Male,Confirmation,4,1,7.14,2015-01-01,2015-04-30
2015-01-21,Desktop,Female,Home,1,252,100.0,2015-01-01,2015-04-30
2015-01-21,Desktop,Female,Search,2,117,46.43,2015-01-01,2015-04-30
2015-01-21,Desktop,Female,Payment,3,17,14.53,2015-01-01,2015-04-30
2015-01-21,Desktop,Female,Confirmation,4,0,0.0,2015-01-01,2015-04-30
2015-01-21,Desktop,Male,Home,1,248,100.0,2015-01-01,2015-04-30
2015-01-21,Desktop,Male,Search,2,121,48.79,2015-01-01,2015-04-30
2015-01-21,Desktop,Male,Payment,3,26,21.49,2015-01-01,2015-04-30
2015-01-21,Desktop,Male,Confirmation,4,4,15.38,2015-01-01,2015-04-30
2015-01-21,Mobile,Female,Home,1,132,100.0,2015-01-01,2015-04-30
2015-01-21,Mobile,Female,Search,2,103,78.03,2015-01-01,2015-04-30
2015-01-21,Mobile,Female,Payment,3,25,24.27,2015-01-01,2015-04-30
2015-01-21,Mobile,Female,Confirmation,4,2,8.0,2015-01-01,2015-04-30
2015-01-21,Mobile,Male,Home,1,128,100.0,2015-01-01,2015-04-30
2015-01-21,Mobile,Male,Search,2,104,81.25,2015-01-01,2015-04-30
2015-01-21,Mobile,Male,Payment,3,19,18.27,2015-01-01,2015-04-30
2015-01-21,Mobile,Male,Confirmation,4,1,5.26,2015-01-01,2015-04-30
2015-01-22,Desktop,Female,Home,1,245,100.0,2015-01-01,2015-04-30
2015-01-22,Desktop,Female,Search,2,122,49.8,2015-01-01,2015-04-30
2015-01-22,Desktop,Female,Payment,3,16,13.11,2015-01-01,2015-04-30
